Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\XTRX\rev5\Altium_Proj\Project Outputs\Pick Place\Pick Place for XTRXr5(Var 3_3V_I).txt

========================================================================================================================
File Design Information:

Date:       29.04.19
Time:       21:30
Revision:   1fa29ee30f46513f9401cd992d1cc54bd914b894
Variant:    Var 3_3V_I
Units used: mm

Designator Description                   Comment                              Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Height(mm) 
R64        Resistor                      3k3                                  TopLayer    R0402-Phillips             24.0500      6.5250       270      0.5000     
R70        Resistor                      1k2                                  TopLayer    R0402-Phillips             30.5500      1.1500       180      0.5000     
R69        Resistor                      3k3                                  TopLayer    R0402-Phillips             32.3500      1.1500       360      0.5000     
R68        Resistor                      1k2                                  TopLayer    R0402-Phillips             30.1000      7.2500       180      0.5000     
L9         "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          26.0000      6.5250       180      0.5000     
L11        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          38.7750      5.5000       360      0.5000     
L10        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          26.5250      1.6000       180      0.5000     
C73        Capacitor                     47uF                                 TopLayer    C0603_TALL                 19.9620      3.4750       180      1.0000     
C72        Capacitor                     47uF                                 TopLayer    C0603_TALL                 20.8750      5.7880       90       1.0000     
C60        Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 28.7500      1.1500       180      0.5000     
C44        Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 28.3000      7.2500       180      0.5000     
C63        Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 32.1250      3.3000       270      0.5000     
C62        Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 32.1250      5.1000       90       0.5000     
U26        "IC RF SP4T Switch"           SKY13414-485LF                       TopLayer    QFN14(2x2/0.4-0.45)        46.2750      9.6000       180      0.5500     
U25        "IC RF SP4T Switch"           SKY13414-485LF                       TopLayer    QFN14(2x2/0.4-0.45)        43.1000      13.5500      180      0.5500     
R49        Resistor                      4k7                                  TopLayer    R0402-Phillips             43.6000      20.9000      360      0.5000     
R48        Resistor                      4k7                                  TopLayer    R0402-Phillips             43.1000      19.6000      270      0.5000     
R46        Resistor                      1k                                   TopLayer    R0402-Phillips             43.0500      21.7000      360      0.5000     
R45        Resistor                      1k                                   TopLayer    R0402-Phillips             43.9000      19.6000      270      0.5000     
R42        Resistor                      100k                                 TopLayer    R0402-Phillips             21.6500      22.7500      180      0.5000     
C28        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 25.6500      24.8000      360      0.5000     
C17        Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 20.3500      21.3500      270      0.5000     
C12        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 14.2250      10.1000      90       0.5000     
C5         Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 8.3250       8.7500       180      0.5000     
C4         Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 8.3250       9.5500       360      0.5000     
C3         Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 8.9000       12.4750      270      0.5000     
C2         Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 8.7750       10.3750      180      0.5000     
U10        "IC Triple Buffer"            NC7NP34L8X                           TopLayer    Micro_pak_8_(1.6x1.6/0.5)  23.9500      23.0750      180      0.5500     
R41        Resistor                      100k                                 TopLayer    R0402-Phillips             21.6500      21.8500      360      0.5000     
L23        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          18.6750      7.2500       90       0.5000     
R31        Resistor                      4k7                                  TopLayer    R0402-Phillips             21.2750      17.6000      90       0.5000     
L56        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          27.4250      24.3250      270      0.5000     
T8         "Balun bal-unbal"             ATB2012E-50011M-T01                  TopLayer    Balun_1.2x2x1mm            43.0750      10.9250      180      1.0000     
C208       Capacitor                     470pF                                TopLayer    C0402-CIRQ                 39.7250      11.3000      180      0.5000     
C207       Capacitor                     470pF                                TopLayer    C0402-CIRQ                 39.7250      10.5000      180      0.5000     
T5         "Balun bal-unbal"             ATB2012E-50011M-T01                  TopLayer    BALUN_1.2X2X1MM            39.5250      8.3000       180      1.0000     
C202       Capacitor                     470pF                                TopLayer    C0402-CIRQ                 36.1250      7.9000       180      0.5000     
C201       Capacitor                     470pF                                TopLayer    C0402-CIRQ                 36.1250      8.7000       180      0.5000     
R13        Resistor                      4k7                                  TopLayer    R0402-Phillips             33.7250      5.5500       180      0.5000     
R77        Resistor                      0                                    TopLayer    R0402-Phillips             27.6750      20.3750      270      0.5000     
R76        Resistor                      0                                    TopLayer    R0402-Phillips             26.1250      12.4750      360      0.5000     
C81        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 29.2000      12.4000      180      0.5000     
C80        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 29.2000      13.6000      180      0.5000     
C79        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 29.2000      16.0000      180      0.5000     
C78        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 28.8000      16.8000      180      0.5000     
C89        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 29.4000      20.0000      270      0.5000     
L24        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          10.5250      7.4750       90       0.5000     
L8         Coil                          0.47uH                               TopLayer    L-VLS201610HBX             6.8500       17.1750      90       1.0000     
L21        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          12.8250      10.4250      360      0.5000     
C159       Capacitor                     47uF                                 TopLayer    C0603_TALL                 12.4870      17.1250      180      1.0000     
LED2       "LED GREEN"                   LTST-C190KGKT                        TopLayer    LED-0603GR                 5.4250       12.4250      360      0.8000     
L5         "Coil wire wound"             47nH                                 TopLayer    COIL0402-PHILLIPS          18.3500      26.1500      90       0.5000     
R39        Resistor                      1k                                   TopLayer    R0402-Phillips             21.7750      24.1500      270      0.5000     
R40        Resistor                      1k                                   TopLayer    R0402-Phillips             19.9500      23.4500      90       0.5000     
C14        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 25.8500      23.8000      360      0.5000     
C24        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 6.9250       23.8750      360      0.5000     
C19        Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 21.4500      20.5500      90       0.5000     
C13        Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 24.6250      14.7750      90       0.5000     
C8         Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 20.8500      24.1500      270      0.5000     
C15        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 23.0250      14.7750      90       0.5000     
L26        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          12.6500      7.4750       90       0.5000     
